# Generated by scripts/build_dic_sidecars.py
# Source: /tmp/dectalk-oracle-src/src/dapi/src/dic/Dic_us.txt
# Built form-class mask per dictionary entry: the 29-bit
# Dic_*.txt column plus the homograph-field flags added by
# ``src/dapi/src/dic/dic_comm.c`` (P rows gain
# FC_CHARACTER|FC_HOMOGRAPH, S rows gain FC_HOMOGRAPH),
# matching the masks embedded in the runtime dtalk dictionary.
# Loaded by :func:`dectalk.dic.markers.load_formclass_lexicon`.

'EM 0x00802000
AMOCO 0x00000400
AMOEBA 0x00000400
AMOK 0x00000002
AMONG 0x00801000
AMONGST 0x00801000
AMORAL 0x00000001
AMORTIZATION 0x00000400
AMORTIZE 0x00020000
AMOS 0x00000400
AMOUNT 0x00000400
AMOUR 0x00000400
AMPERE 0x00000400
AMPERSAND 0x00000400
AMPHETAMINE 0x00000400
AMPHITHEATER 0x00000400
AMPUTATE 0x00020000
AMSTERDAM 0x00000400
AMULET 0x00000400
AMY 0x00000400
AMYLYN 0x00000400
AN 0x00800004
ANA 0x00000400
ANACHRONISM 0x00000400
ANACLATA 0x00000400
ANAL 0x00000001
ANALGESIA 0x00000400
ANALOGOUS 0x00000001
ANALYSES 0x00000400
ANANT 0x00000400
ANARCHISM 0x00000400
ANARCHIST 0x00000400
ANASTASIA 0x00000400
ANATHEMA 0x00000400
ANATOLY 0x00000400
ANATOMIST 0x00000400
ANCA 0x00000400
ANCESTOR 0x00000400
ANCHOR 0x00020400
ANCHORAGE 0x00000400
ANCIENT 0x00000401
AND 0x00820040
AND/OR 0x00800040
ANDANTE 0x00000001
ANDANTINO 0x00000001
ANDERS 0x00000400
ANDERSEN 0x00000400
ANDERSON 0x00000400
ANDERSSON 0x00000400
ANDIRON 0x00000400
ANDORRA 0x00000400
ANDOVER 0x00000400
ANDRAS 0x00000400
ANDRE 0x00000400
ANDREA 0x00000400
ANDREAS 0x00000400
ANDREINA 0x00000400
ANDRES 0x00000400
ANDREW 0x00000400
ANDROGEN 0x00000400
ANDROID 0x00000400
ANDRZEJ 0x00000400
ANDY 0x00000400
ANECDOTAL 0x00000001
ANECDOTE 0x00000400
ANESTHESIA 0x00000400
ANESTHESIOLOGIST 0x00000400
ANESTHESIOLOGY 0x00000400
ANETTE 0x00000400
ANGEL 0x00000400
ANGELA 0x00000400
ANGELES 0x00000400
ANGELFISH 0x00000400
ANGELIC 0x00000001
ANGELICA 0x00000400
ANGELIKA 0x00000400
ANGELO 0x00000400
ANGER 0x00020400
ANGIE 0x00000400
ANGINA 0x00000400
ANGLE 0x00020400
ANGLEWORM 0x00000400
ANGLO 0x00000400
ANGOLA 0x00000400
ANGORA 0x00000400
ANGRY 0x00000001
ANGSTROM 0x00000400
ANGUILLA 0x00000400
ANGUS 0x00000400
ANIBAL 0x00000400
ANIMAL 0x00000401
ANIMATED 0x00000080
ANIMATE|P 0x82020000
ANIMATE|S 0x80000001
ANIMUS 0x00000400
ANITA 0x00000400
ANITRA 0x00000400
ANKARA 0x00000400
ANKE 0x00000400
ANKLE 0x00000400
ANN 0x00000400
ANNA 0x00000400
ANNABEL 0x00000400
ANNAGRAZIA 0x00000400
ANNALAURA 0x00000400
ANNALISA 0x00000400
ANNALS 0x00000400
ANNAMARIA 0x00000400
ANNARITA 0x00000400
ANNE 0x00000400
ANNECY 0x00000400
ANNEMARIE 0x00000400
ANNEROSE 0x00000400
ANNETTA 0x00000400
ANNETTE 0x00000400
ANNEX|P 0x82000400
ANNEX|S 0x80020000
ANNI 0x00000400
ANNIE 0x00000400
ANNIHILATE 0x00020000
ANNIHILATION 0x00000400
ANNIVERSARY 0x00000400
ANNMARIE 0x00000400
ANNOTATE 0x00020000
ANNUAL 0x00000001
ANNUL 0x00020000
ANNUM 0x00000400
ANNUNCIATA 0x00000400
ANNUNCIATE 0x00020000
ANOMALOUS 0x00000001
ANOMALY 0x00000400
ANONYMOUS 0x00000001
ANOPHELES 0x00000001
ANOTHER 0x00802001
ANSI 0x00000001
ANSWER 0x00020400
ANT 0x00000400
ANTACID 0x00000400
ANTAGONISM 0x00000400
ANTAGONIST 0x00000400
ANTAGONIZE 0x00020000
ANTARCTIC 0x00000401
ANTARCTICA 0x00000400
ANTE 0x00020400
ANTEATER 0x00000400
ANTECEDENT 0x00000400
ANTECHAMBER 0x00000400
ANTEPENULT 0x00000400
ANTERIOR 0x00000401
ANTERO 0x00000400
ANTEROOM 0x00000400
ANTHEA 0x00000400
ANTHEM 0x00000400
ANTHILL 0x00000400
ANTHOLOGY 0x00000400
ANTHONY 0x00000400
ANTHRAX 0x00000400
ANTHROPOCENTRIC 0x00000001
ANTI 0x00000001
ANTI-ALIAS 0x00000001
ANTIBIOTIC 0x00000001
ANTIBODY 0x00000400
ANTICLIMAX 0x00000400
ANTIGONE 0x00000400
ANTIGUA 0x00000400
ANTIHISTAMINE 0x00000400
ANTIKNOCK 0x00000400
ANTILOGARITHM 0x00000400
ANTIPASTO 0x00000400
ANTIQUATE 0x00020000
ANTIQUE 0x00000401
ANTISOCIAL 0x00000001
ANTLER 0x00000400
ANTOINE 0x00000400
ANTOINETTE 0x00000400
ANTON 0x00000400
ANTONELLA 0x00000400
ANTONELLO 0x00000400
ANTONI 0x00000400
ANTONIA 0x00000400
ANTONIETTA 0x00000400
ANTONINO 0x00000400
ANTONIO 0x00000400
ANTWERP 0x00000400
ANUNCION 0x00000400
ANUS 0x00000400
ANVIL 0x00000400
ANXIETY 0x00000400
ANXIOUS 0x00000001
ANY 0x00802001
ANYBODY 0x00802000
ANYHOW 0x00000002
ANYMORE 0x00000002
ANYONE 0x00802000
ANYPLACE 0x00802000
ANYTHING 0x00802000
ANYWAY 0x00000002
ANYWHERE 0x00000002
AORTA 0x00000400
APACHE 0x00000400
APARTHEID 0x00000400
APARTMENT 0x00000400
APENNINE 0x00000400
APERTURE 0x00000400
APHASIA 0x00000400
APHRODISIAC 0x00000401
APHRODITE 0x00000400
API 0x00000400
APIARY 0x00000400
APICES 0x00000400
APLENTY 0x00000002
APLOMB 0x00000400
APO 0x00000401
APOCALYPSE 0x00000400
APOLLO 0x00000400
APOLOGIZE 0x00020000
APOPLEXY 0x00000400
APOSTOLOS 0x00000400
APOSTROPHE 0x00000400
APOTHEGM 0x00000400
APPALL 0x00020000
APPALOOSA 0x00000400
APPARATUS 0x00000400
APPEAR 0x00020000
APPEND 0x00020000
APPETITE 0x00000400
APPETIZER 0x00000400
APPLAUD 0x00020000
APPLE 0x00000400
APPLEGATE 0x00000400
APPLEJUICE 0x00000400
APPLESAUCE 0x00000400
APPLETON 0x00000400
APPLIANCE 0x00000400
APPLICANT 0x00000400
APPLICATIONDEC 0x00000400
APPLY 0x00020000
APPOINTMENT 0x00000400
APPRAISE 0x00020000
APPRECIABLE 0x00000001
APPRECIATE 0x00020000
APPRECIATION 0x00000400
APPRECIATIVE 0x00000001
APPREHEND 0x00020000
APPRIZE 0x00020000
APPROPRIATELY 0x00000002
APPROPRIATE|P 0x82000001
APPROPRIATE|S 0x80020000
APPROVAL 0x00000400
APPROVE 0x00020000
APR. 0x00000401
APRICOT 0x00000400
APRIL 0x00000401
APRON 0x00000400
APROPOS 0x00000003
APTOS 0x00000400
AQUAMARINE 0x00000401
AQUILINE 0x00000001
AQUINO 0x00000400
ARAB 0x00000400
ARABELLA 0x00000400
ARABIA 0x00000400
ARABIC 0x00000001
ARABLE 0x00000400
ARAFAT 0x00000400
ARAMCO 0x00000400
ARAYA 0x00000400
ARBITER 0x00000400
ARBOR 0x00000400
ARBUCKLE 0x00000400
ARC 0x00020400
ARCADE 0x00000400
ARCADIO 0x00000400
ARCANE 0x00000001
ARCCOSINE 0x00000400
ARCH 0x00020400
ARCHBISHOP 0x00000400
ARCHENEMY 0x00000400
ARCHER 0x00000400
ARCHERY 0x00000400
ARCHIBALD 0x00000400
ARCHIE 0x00000400
ARCHIMEDES 0x00000400
ARCHIPELAGO 0x00000400
ARCHITECT 0x00000400
ARCHIVE 0x00000400
ARCHIVIST 0x00000400
ARCSINE 0x00000400
ARCTANGENT 0x00000400
ARE 0x00820020
AREN'T 0x020A0020
ARENA 0x00000400
ARGENTINA 0x00000400
ARGENTINIAN 0x00000401
ARGON 0x00000400
ARGOT 0x00000400
ARGUABLE 0x00000001
ARGUE 0x00020000
ARGUMENT 0x00000400
ARGUMENTATION 0x00000400
ARGUMENTATIVE 0x00000001
ARIA 0x00000400
ARIADNE 0x00000400
ARIANE 0x00000400
ARIES 0x00000400
ARISE 0x00020000
ARISEN 0x00000080
ARISTOCRAT 0x00000400
ARISTOPHANES 0x00000400
ARISTOTLE 0x00000400
ARITHMETICALLY 0x00000002
ARITHMETIC|P 0x82000400
ARITHMETIC|S 0x80000001
ARKANSAS 0x00000400
ARKENSTONE 0x00000400
ARLEEN 0x00000400
ARLETE 0x00000400
ARLINDO 0x00000400
ARLINGTON 0x00000400
ARM 0x00020400
ARMAND 0x00000400
ARMANDO 0x00000400
ARMBAND 0x00000400
ARMCHAIR 0x00000400
ARMEL 0x00000400
ARMENIA 0x00000400
ARMFUL 0x00000400
ARMIDALE 0x00000400
ARMIN 0x00000400
ARMINDO 0x00000400
ARMOR 0x00000400
ARMSTRONG 0x00000400
ARMY 0x00000400
ARNALD 0x00000400
ARNALDO 0x00000400
ARNAUD 0x00000400
ARNE 0x00000400
ARNETT 0x00000400
ARNFRIED 0x00000400
ARNIE 0x00000400
ARNO 0x00000400
ARNOLD 0x00000400
AROMA 0x00000400
AROSE 0x00020000
AROUND 0x00801000
AROUSAL 0x00000400
AROUSE 0x00020000
ARRAIGN 0x00020000
ARRANGE 0x00020000
ARREST 0x00020400
ARRIGO 0x00000400
ARRINGTON 0x00000400
ARRIVAL 0x00000400
ARRIVE 0x00020000
ARROGANCE 0x00000400
ARROGANT 0x00000001
ARROW 0x00000400
ARROWHEAD 0x00000400
ARROYO 0x00000400
ARSENAL 0x00000400
ARSENIC 0x00000401
ARSENIO 0x00000400
ART 0x00000400
ARTHUR 0x00000400
ARTICULATE|P 0x82020000
ARTICULATE|S 0x80000001
ARTIFICE 0x00000400
ARTIFICIAL 0x00000001
ARTURO 0x00000400
